ad_id,campaign_name,ad_set_name,ad_date,impressions,clicks,ctr,spend,conversions,conversion_rate,cpa,roas,target_audience,platform,ad_format,objective
15,Home Defense Series,Ad Set 10,2025-01-02,98634,2778,2.82,6509.9,29,1.04,224.48,5.22,Young Families,Facebook,Single Image,CONVERSIONS
16,Health Enrollment Push,Ad Set 10,2024-12-29,53694,2486,4.63,6088.74,311,12.51,19.58,2.41,Frequent Travelers,Facebook,Collection,TRAFFIC
17,Auto Insurance Drive,Ad Set 13,2025-06-24,10353,227,2.19,4255.78,21,9.25,202.66,4.22,Frequent Travelers,Facebook,Video,CONVERSIONS
18,Auto Insurance Drive,Ad Set 7,2024-11-26,21328,751,3.52,6073.28,27,3.6,224.94,1.92,"Ages 25-40, Homeowners",Audience Network,Stories,CONVERSIONS
19,Life Insure Campaign,Ad Set 16,2025-05-26,49026,2222,4.53,9906.93,178,8.01,55.66,3.77,"Ages 35-60, Car Owners",Audience Network,Collection,CONVERSIONS
20,Insurance Awareness Q3,Ad Set 13,2025-02-25,38981,345,0.89,5781.14,16,4.64,361.32,3.21,Frequent Travelers,Facebook,Stories,BRAND_AWARENESS
21,Home Defense Series,Ad Set 1,2025-02-02,152566,3446,2.26,2105.59,146,4.24,14.42,6.45,Frequent Travelers,Audience Network,Carousel,TRAFFIC
22,Summer Travel Cover,Ad Set 12,2024-12-20,130065,998,0.77,557.57,52,5.21,10.72,4.16,"Ages 35-60, Car Owners",Audience Network,Carousel,TRAFFIC
23,Insurance Awareness Q3,Ad Set 13,2024-12-24,55042,479,0.87,1170.94,5,1.04,234.19,6.81,Senior Citizens,Instagram,Video,BRAND_AWARENESS
24,Auto Insurance Drive,Ad Set 6,2024-09-07,176768,3988,2.26,787.52,384,9.63,2.05,0.86,Small Business Owners,Facebook,Collection,REACH
25,Life Insure Campaign,Ad Set 12,2025-04-26,16472,655,3.98,8399.6,83,12.67,101.2,4.41,"Ages 25-40, Homeowners",Audience Network,Collection,REACH
26,Summer Travel Cover,Ad Set 10,2024-09-03,165754,2756,1.66,153.4,78,2.83,1.97,4.5,Young Families,Instagram,Collection,CONVERSIONS
27,Insurance Awareness Q3,Ad Set 5,2024-06-18,168752,2859,1.69,9178.76,267,9.34,34.38,1.71,Frequent Travelers,Instagram,Stories,BRAND_AWARENESS
28,Health Enrollment Push,Ad Set 5,2024-07-04,177569,8144,4.59,237.06,1063,13.05,0.22,7.44,Senior Citizens,Facebook,Single Image,CONVERSIONS
29,Summer Travel Cover,Ad Set 13,2025-01-06,32167,641,1.99,2919.41,60,9.36,48.66,0.64,Small Business Owners,Audience Network,Carousel,BRAND_AWARENESS
30,Health Enrollment Push,Ad Set 20,2025-02-24,163438,3970,2.43,1919.92,491,12.37,3.91,1.52,Senior Citizens,Facebook,Carousel,LEAD_GENERATION
31,Health Enrollment Push,Ad Set 5,2024-12-13,139095,2773,1.99,4751.49,379,13.67,12.54,6.99,Small Business Owners,Facebook,Video,BRAND_AWARENESS
32,Health Enrollment Push,Ad Set 14,2024-12-04,90937,1027,1.13,8612.18,118,11.49,72.98,5.3,Senior Citizens,Facebook,Carousel,CONVERSIONS
33,Health Enrollment Push,Ad Set 5,2024-11-08,25111,995,3.96,6545.93,25,2.51,261.84,2.03,Young Families,Facebook,Stories,TRAFFIC
34,Insurance Awareness Q3,Ad Set 11,2024-09-06,198340,1319,0.67,8830.56,92,6.97,95.98,4.96,Small Business Owners,Instagram,Collection,TRAFFIC
35,Summer Travel Cover,Ad Set 8,2025-01-23,111151,2320,2.09,4045.46,179,7.72,22.6,6.48,"Ages 35-60, Car Owners",Audience Network,Stories,LEAD_GENERATION
36,Summer Travel Cover,Ad Set 7,2025-04-18,152063,3524,2.32,9968.75,86,2.44,115.92,1.28,"Ages 35-60, Car Owners",Facebook,Stories,REACH
37,Health Enrollment Push,Ad Set 11,2025-05-03,15412,500,3.24,1468.25,65,13.0,22.59,3.73,Young Families,Audience Network,Video,BRAND_AWARENESS
38,Insurance Awareness Q3,Ad Set 16,2024-08-18,97174,911,0.94,4307.87,60,6.59,71.8,1.49,"Ages 35-60, Car Owners",Audience Network,Carousel,CONVERSIONS
39,Insurance Awareness Q3,Ad Set 2,2024-08-25,158872,4227,2.66,7724.25,613,14.5,12.6,3.14,Frequent Travelers,Audience Network,Carousel,TRAFFIC
40,Summer Travel Cover,Ad Set 13,2024-12-21,136744,2334,1.71,7188.32,153,6.56,46.98,1.14,Senior Citizens,Instagram,Single Image,REACH
41,Auto Insurance Drive,Ad Set 15,2025-02-26,70686,2354,3.33,7961.97,167,7.09,47.68,6.17,Small Business Owners,Facebook,Video,LEAD_GENERATION
42,Auto Insurance Drive,Ad Set 19,2025-02-12,196253,3019,1.54,9325.2,439,14.54,21.24,3.99,"Ages 25-40, Homeowners",Instagram,Collection,REACH
43,Summer Travel Cover,Ad Set 14,2025-03-07,72415,839,1.16,5629.46,110,13.11,51.18,0.72,Small Business Owners,Facebook,Collection,REACH
44,Auto Insurance Drive,Ad Set 9,2024-06-19,74147,3101,4.18,8780.55,300,9.67,29.27,0.77,"Ages 35-60, Car Owners",Audience Network,Stories,BRAND_AWARENESS
45,Summer Travel Cover,Ad Set 9,2024-11-14,77970,524,0.67,4188.43,35,6.68,119.67,2.38,Young Families,Audience Network,Video,BRAND_AWARENESS
46,Health Enrollment Push,Ad Set 7,2024-08-27,10392,173,1.66,8840.43,11,6.36,803.68,7.8,Young Families,Audience Network,Carousel,CONVERSIONS
47,Summer Travel Cover,Ad Set 7,2024-10-24,153331,7044,4.59,4282.56,709,10.07,6.04,3.28,"Ages 25-40, Homeowners",Instagram,Video,REACH
48,Insurance Awareness Q3,Ad Set 9,2024-12-15,30801,940,3.05,8965.6,48,5.11,186.78,7.62,Frequent Travelers,Audience Network,Stories,CONVERSIONS
49,Insurance Awareness Q3,Ad Set 18,2025-01-13,125787,3370,2.68,2099.38,501,14.87,4.19,4.51,Young Families,Instagram,Video,TRAFFIC
50,Home Defense Series,Ad Set 5,2024-11-17,91579,1208,1.32,8386.57,53,4.39,158.24,5.23,Small Business Owners,Facebook,Single Image,CONVERSIONS
51,Summer Travel Cover,Ad Set 8,2024-06-28,74730,2276,3.05,1440.29,279,12.26,5.16,2.62,Frequent Travelers,Facebook,Video,LEAD_GENERATION
52,Health Enrollment Push,Ad Set 6,2024-08-30,31474,1236,3.93,3172.07,117,9.47,27.11,1.91,Senior Citizens,Facebook,Video,LEAD_GENERATION
53,Home Defense Series,Ad Set 16,2024-12-14,135722,1424,1.05,6247.68,109,7.65,57.32,5.94,Frequent Travelers,Facebook,Single Image,TRAFFIC
54,Home Defense Series,Ad Set 20,2025-03-29,69060,2638,3.82,7355.36,383,14.52,19.2,2.86,"Ages 35-60, Car Owners",Facebook,Stories,BRAND_AWARENESS
55,Insurance Awareness Q3,Ad Set 18,2025-03-11,35607,297,0.83,6587.58,30,10.1,219.59,6.15,"Ages 25-40, Homeowners",Facebook,Collection,REACH
56,Insurance Awareness Q3,Ad Set 18,2025-02-27,146647,6762,4.61,9513.51,280,4.14,33.98,6.28,Young Families,Facebook,Stories,LEAD_GENERATION
57,Life Insure Campaign,Ad Set 7,2024-11-05,114384,938,0.82,8059.13,99,10.55,81.41,2.23,Senior Citizens,Instagram,Carousel,TRAFFIC
58,Health Enrollment Push,Ad Set 18,2025-02-24,139305,1715,1.23,8650.78,51,2.97,169.62,6.14,Young Families,Facebook,Carousel,CONVERSIONS
59,Auto Insurance Drive,Ad Set 10,2024-06-24,73129,1682,2.3,8975.95,226,13.44,39.72,5.41,"Ages 35-60, Car Owners",Instagram,Stories,REACH
60,Life Insure Campaign,Ad Set 1,2024-07-13,85213,2499,2.93,5461.24,284,11.36,19.23,5.11,Frequent Travelers,Instagram,Collection,REACH
61,Home Defense Series,Ad Set 19,2024-12-09,145424,4628,3.18,8018.55,124,2.68,64.67,2.43,Young Families,Audience Network,Video,TRAFFIC
62,Home Defense Series,Ad Set 10,2025-01-01,162464,2752,1.69,9415.68,239,8.68,39.4,7.94,Young Families,Facebook,Single Image,LEAD_GENERATION
63,Summer Travel Cover,Ad Set 7,2024-06-22,171600,2826,1.65,4153.81,96,3.4,43.27,3.04,Young Families,Audience Network,Video,BRAND_AWARENESS
64,Auto Insurance Drive,Ad Set 17,2025-04-01,165436,1826,1.1,1658.75,260,14.24,6.38,2.44,Young Families,Facebook,Video,CONVERSIONS
65,Health Enrollment Push,Ad Set 18,2024-08-18,175525,5795,3.3,4388.23,178,3.07,24.65,2.65,"Ages 25-40, Homeowners",Facebook,Collection,BRAND_AWARENESS
66,Insurance Awareness Q3,Ad Set 5,2024-10-09,97813,4882,4.99,7216.1,519,10.63,13.9,5.51,Frequent Travelers,Instagram,Carousel,REACH
67,Health Enrollment Push,Ad Set 17,2024-07-03,33676,358,1.06,4024.67,29,8.1,138.78,2.01,"Ages 25-40, Homeowners",Instagram,Collection,REACH
68,Insurance Awareness Q3,Ad Set 8,2024-06-05,81813,2071,2.53,402.45,288,13.91,1.4,3.3,"Ages 35-60, Car Owners",Facebook,Stories,CONVERSIONS
69,Insurance Awareness Q3,Ad Set 10,2024-12-15,75169,3739,4.97,5256.85,484,12.94,10.86,0.98,Small Business Owners,Instagram,Carousel,CONVERSIONS
70,Insurance Awareness Q3,Ad Set 4,2024-10-04,8779,360,4.1,9495.47,23,6.39,412.85,7.75,Small Business Owners,Instagram,Collection,TRAFFIC
71,Auto Insurance Drive,Ad Set 8,2025-02-18,24200,975,4.03,822.86,110,11.28,7.48,6.37,Young Families,Audience Network,Single Image,REACH
72,Insurance Awareness Q3,Ad Set 5,2025-04-05,158757,3926,2.47,4711.78,552,14.06,8.54,5.98,Young Families,Instagram,Video,CONVERSIONS
73,Summer Travel Cover,Ad Set 3,2025-04-28,81402,3974,4.88,8837.16,371,9.34,23.82,1.65,"Ages 35-60, Car Owners",Instagram,Stories,CONVERSIONS
74,Auto Insurance Drive,Ad Set 4,2025-04-05,86268,1521,1.76,6701.02,27,1.78,248.19,6.51,"Ages 35-60, Car Owners",Audience Network,Collection,CONVERSIONS
75,Summer Travel Cover,Ad Set 12,2025-02-16,19385,514,2.65,7812.17,26,5.06,300.47,5.2,"Ages 35-60, Car Owners",Facebook,Stories,LEAD_GENERATION
76,Summer Travel Cover,Ad Set 11,2025-06-03,146429,5260,3.59,7309.09,86,1.63,84.99,5.57,"Ages 25-40, Homeowners",Facebook,Collection,REACH
77,Life Insure Campaign,Ad Set 9,2024-08-09,158005,5798,3.67,2646.21,411,7.09,6.44,5.93,"Ages 25-40, Homeowners",Audience Network,Collection,BRAND_AWARENESS
78,Life Insure Campaign,Ad Set 18,2025-02-14,40632,815,2.01,5476.29,24,2.94,228.18,3.23,Frequent Travelers,Facebook,Video,TRAFFIC
79,Insurance Awareness Q3,Ad Set 7,2024-06-09,127853,1307,1.02,1432.94,51,3.9,28.1,2.65,Small Business Owners,Instagram,Video,TRAFFIC
80,Auto Insurance Drive,Ad Set 4,2025-05-28,38813,1610,4.15,1111.83,235,14.6,4.73,1.62,Frequent Travelers,Audience Network,Carousel,TRAFFIC
81,Summer Travel Cover,Ad Set 17,2025-03-01,99831,1868,1.87,3376.23,111,5.94,30.42,1.14,Senior Citizens,Instagram,Collection,LEAD_GENERATION
82,Health Enrollment Push,Ad Set 6,2024-11-17,58485,1918,3.28,2334.43,195,10.17,11.97,2.86,Young Families,Instagram,Collection,TRAFFIC
83,Life Insure Campaign,Ad Set 7,2024-07-07,35909,1555,4.33,3890.38,172,11.06,22.62,6.13,Senior Citizens,Audience Network,Carousel,CONVERSIONS
84,Life Insure Campaign,Ad Set 11,2024-09-08,77700,2988,3.85,9351.02,266,8.9,35.15,0.58,"Ages 35-60, Car Owners",Instagram,Video,TRAFFIC
85,Life Insure Campaign,Ad Set 3,2025-05-13,134492,1991,1.48,6994.58,95,4.77,73.63,3.38,Young Families,Instagram,Carousel,CONVERSIONS
86,Life Insure Campaign,Ad Set 5,2024-10-11,96428,3341,3.46,5511.67,151,4.52,36.5,2.93,"Ages 25-40, Homeowners",Instagram,Carousel,REACH
87,Auto Insurance Drive,Ad Set 20,2024-12-02,11195,315,2.81,7149.52,14,4.44,510.68,1.29,Senior Citizens,Audience Network,Collection,CONVERSIONS
88,Health Enrollment Push,Ad Set 19,2024-11-28,54079,2274,4.2,4992.69,306,13.46,16.32,1.24,Frequent Travelers,Facebook,Video,TRAFFIC
89,Home Defense Series,Ad Set 20,2024-10-02,197152,1344,0.68,7701.83,103,7.66,74.78,5.1,Senior Citizens,Audience Network,Carousel,TRAFFIC
90,Health Enrollment Push,Ad Set 12,2025-04-08,123748,2437,1.97,5529.72,153,6.28,36.14,3.01,"Ages 35-60, Car Owners",Audience Network,Video,LEAD_GENERATION
91,Health Enrollment Push,Ad Set 4,2025-04-02,155880,2436,1.56,6463.54,100,4.11,64.64,4.01,Young Families,Audience Network,Single Image,TRAFFIC
92,Home Defense Series,Ad Set 9,2024-11-29,89255,1901,2.13,5995.29,174,9.15,34.46,0.85,Young Families,Facebook,Collection,REACH
93,Insurance Awareness Q3,Ad Set 10,2024-08-19,22742,580,2.55,6977.86,60,10.34,116.3,6.65,Frequent Travelers,Facebook,Single Image,TRAFFIC
94,Summer Travel Cover,Ad Set 19,2024-11-25,189035,5554,2.94,9033.37,292,5.26,30.94,6.58,"Ages 35-60, Car Owners",Instagram,Collection,LEAD_GENERATION
95,Summer Travel Cover,Ad Set 3,2025-01-27,114253,3534,3.09,5018.53,299,8.46,16.78,6.63,"Ages 25-40, Homeowners",Facebook,Stories,TRAFFIC
96,Auto Insurance Drive,Ad Set 18,2024-07-22,17851,492,2.76,9392.33,8,1.63,1174.04,2.08,"Ages 35-60, Car Owners",Facebook,Collection,TRAFFIC
97,Home Defense Series,Ad Set 5,2024-09-10,61323,2436,3.97,6936.59,188,7.72,36.9,1.88,Frequent Travelers,Instagram,Single Image,BRAND_AWARENESS
98,Health Enrollment Push,Ad Set 9,2024-12-04,33628,1415,4.21,3603.63,180,12.72,20.02,5.85,Small Business Owners,Instagram,Stories,BRAND_AWARENESS
99,Summer Travel Cover,Ad Set 3,2024-08-20,35802,874,2.44,7274.08,107,12.24,67.98,5.18,"Ages 25-40, Homeowners",Instagram,Stories,LEAD_GENERATION
100,Auto Insurance Drive,Ad Set 4,2025-04-05,173621,5991,3.45,5963.0,434,7.24,13.74,7.43,Young Families,Audience Network,Collection,LEAD_GENERATION
101,Auto Insurance Drive,Ad Set 15,2024-07-20,50708,661,1.3,5642.56,73,11.04,77.3,2.7,Young Families,Instagram,Video,TRAFFIC
102,Insurance Awareness Q3,Ad Set 2,2024-09-09,186423,1836,0.98,3602.51,20,1.09,180.13,2.64,"Ages 35-60, Car Owners",Facebook,Single Image,REACH
103,Auto Insurance Drive,Ad Set 20,2024-06-30,144480,1169,0.81,7184.71,103,8.81,69.75,5.38,Frequent Travelers,Audience Network,Video,TRAFFIC
104,Summer Travel Cover,Ad Set 10,2024-08-11,23866,591,2.48,6994.77,43,7.28,162.67,3.88,Small Business Owners,Facebook,Stories,LEAD_GENERATION
105,Summer Travel Cover,Ad Set 10,2025-06-14,135500,3770,2.78,8780.5,131,3.47,67.03,4.31,"Ages 35-60, Car Owners",Facebook,Collection,TRAFFIC
106,Insurance Awareness Q3,Ad Set 10,2024-06-21,69036,3299,4.78,1837.54,373,11.31,4.93,0.91,"Ages 25-40, Homeowners",Facebook,Carousel,LEAD_GENERATION
107,Auto Insurance Drive,Ad Set 17,2024-09-18,25470,322,1.26,8949.72,36,11.18,248.6,3.18,Senior Citizens,Facebook,Stories,CONVERSIONS
108,Auto Insurance Drive,Ad Set 5,2025-03-08,72199,2102,2.91,8082.08,81,3.85,99.78,1.04,Small Business Owners,Facebook,Stories,CONVERSIONS
109,Summer Travel Cover,Ad Set 20,2025-05-03,23618,1106,4.68,9989.15,60,5.42,166.49,7.4,Small Business Owners,Audience Network,Video,REACH
110,Summer Travel Cover,Ad Set 9,2025-04-05,85122,1952,2.29,4443.1,28,1.43,158.68,2.02,Frequent Travelers,Instagram,Single Image,LEAD_GENERATION
111,Life Insure Campaign,Ad Set 7,2024-12-12,67965,900,1.32,5134.09,66,7.33,77.79,1.12,Senior Citizens,Instagram,Collection,CONVERSIONS
112,Home Defense Series,Ad Set 11,2024-09-06,166038,1680,1.01,7052.28,56,3.33,125.93,1.76,Senior Citizens,Facebook,Video,BRAND_AWARENESS
113,Summer Travel Cover,Ad Set 6,2025-05-16,69950,3224,4.61,8593.09,426,13.21,20.17,2.09,Frequent Travelers,Instagram,Carousel,BRAND_AWARENESS
114,Life Insure Campaign,Ad Set 2,2024-08-28,67975,2754,4.05,823.72,347,12.6,2.37,1.88,"Ages 35-60, Car Owners",Facebook,Video,CONVERSIONS
115,Life Insure Campaign,Ad Set 17,2024-11-09,157382,1200,0.76,2691.56,179,14.92,15.04,6.13,"Ages 35-60, Car Owners",Audience Network,Collection,CONVERSIONS
116,Insurance Awareness Q3,Ad Set 7,2025-05-03,42027,1669,3.97,961.62,154,9.23,6.24,1.77,"Ages 25-40, Homeowners",Instagram,Single Image,TRAFFIC
117,Health Enrollment Push,Ad Set 9,2025-02-08,137268,3000,2.19,2903.37,399,13.3,7.28,7.06,Senior Citizens,Instagram,Stories,LEAD_GENERATION
118,Auto Insurance Drive,Ad Set 3,2024-06-22,176802,3976,2.25,1565.4,409,10.29,3.83,0.53,Senior Citizens,Audience Network,Carousel,CONVERSIONS
119,Life Insure Campaign,Ad Set 7,2024-12-17,149286,5654,3.79,690.78,321,5.68,2.15,3.66,Young Families,Audience Network,Single Image,REACH
120,Auto Insurance Drive,Ad Set 9,2024-11-22,18364,676,3.68,6633.38,57,8.43,116.38,3.53,Frequent Travelers,Audience Network,Video,BRAND_AWARENESS
121,Auto Insurance Drive,Ad Set 17,2024-08-04,105931,1617,1.53,8566.26,101,6.25,84.81,7.86,"Ages 25-40, Homeowners",Instagram,Video,REACH
122,Home Defense Series,Ad Set 2,2025-05-21,166173,3459,2.08,5360.73,217,6.27,24.7,7.17,"Ages 35-60, Car Owners",Facebook,Carousel,CONVERSIONS
123,Life Insure Campaign,Ad Set 1,2025-03-22,177280,6246,3.52,3380.51,637,10.2,5.31,5.28,"Ages 35-60, Car Owners",Audience Network,Video,REACH
124,Summer Travel Cover,Ad Set 7,2024-09-11,128057,1842,1.44,9010.37,136,7.38,66.25,7.42,Frequent Travelers,Facebook,Single Image,LEAD_GENERATION
125,Home Defense Series,Ad Set 14,2025-03-28,50475,323,0.64,6461.6,29,8.98,222.81,6.45,Young Families,Audience Network,Carousel,CONVERSIONS
126,Auto Insurance Drive,Ad Set 11,2024-09-15,145702,5149,3.53,7205.7,256,4.97,28.15,2.16,"Ages 35-60, Car Owners",Audience Network,Carousel,LEAD_GENERATION
127,Life Insure Campaign,Ad Set 17,2025-01-23,22603,420,1.86,5940.25,41,9.76,144.88,7.69,"Ages 25-40, Homeowners",Instagram,Video,REACH
128,Home Defense Series,Ad Set 17,2024-10-07,73121,1784,2.44,1743.68,192,10.76,9.08,6.5,Young Families,Facebook,Single Image,CONVERSIONS
129,Auto Insurance Drive,Ad Set 9,2025-02-20,137398,1169,0.85,7975.06,115,9.84,69.35,3.46,Young Families,Instagram,Video,TRAFFIC
130,Health Enrollment Push,Ad Set 13,2025-03-23,34317,1301,3.79,8954.35,117,8.99,76.53,6.19,"Ages 25-40, Homeowners",Facebook,Video,TRAFFIC
131,Home Defense Series,Ad Set 9,2024-06-16,173808,7993,4.6,1247.96,1020,12.76,1.22,1.64,"Ages 25-40, Homeowners",Audience Network,Video,BRAND_AWARENESS
132,Home Defense Series,Ad Set 9,2025-03-22,198255,1918,0.97,131.02,119,6.2,1.1,7.1,"Ages 25-40, Homeowners",Facebook,Carousel,LEAD_GENERATION
133,Summer Travel Cover,Ad Set 5,2024-12-29,107491,796,0.74,6260.04,38,4.77,164.74,7.48,Young Families,Instagram,Collection,LEAD_GENERATION
134,Life Insure Campaign,Ad Set 10,2024-12-22,119166,4960,4.16,329.25,391,7.88,0.84,1.71,Young Families,Facebook,Stories,BRAND_AWARENESS
135,Home Defense Series,Ad Set 16,2024-09-18,98788,1766,1.79,4328.87,140,7.93,30.92,2.8,"Ages 35-60, Car Owners",Audience Network,Collection,TRAFFIC
136,Insurance Awareness Q3,Ad Set 2,2025-03-03,62876,1363,2.17,4307.79,97,7.12,44.41,4.58,Young Families,Facebook,Stories,TRAFFIC
137,Health Enrollment Push,Ad Set 15,2024-11-30,118652,1087,0.92,6430.49,152,13.98,42.31,7.98,Small Business Owners,Facebook,Single Image,BRAND_AWARENESS
138,Home Defense Series,Ad Set 1,2024-12-27,35595,820,2.3,478.11,99,12.07,4.83,6.71,Frequent Travelers,Audience Network,Carousel,BRAND_AWARENESS
139,Life Insure Campaign,Ad Set 9,2024-10-02,131797,3578,2.71,5782.12,339,9.47,17.06,5.84,Young Families,Audience Network,Video,TRAFFIC
140,Health Enrollment Push,Ad Set 14,2025-06-01,136384,4046,2.97,9995.62,431,10.65,23.19,7.75,Young Families,Facebook,Collection,BRAND_AWARENESS
141,Life Insure Campaign,Ad Set 17,2024-09-21,183897,6114,3.32,6787.62,218,3.57,31.14,6.54,Senior Citizens,Instagram,Single Image,LEAD_GENERATION
142,Health Enrollment Push,Ad Set 19,2024-11-06,18630,276,1.48,6907.1,35,12.68,197.35,1.04,Small Business Owners,Audience Network,Carousel,REACH
143,Home Defense Series,Ad Set 4,2025-06-26,62021,1004,1.62,417.23,41,4.08,10.18,4.07,Young Families,Instagram,Collection,BRAND_AWARENESS
144,Health Enrollment Push,Ad Set 9,2025-02-28,49476,2180,4.41,5439.91,184,8.44,29.56,1.36,Young Families,Audience Network,Collection,BRAND_AWARENESS
145,Auto Insurance Drive,Ad Set 19,2024-07-05,120164,1700,1.41,128.54,117,6.88,1.1,1.59,"Ages 35-60, Car Owners",Audience Network,Single Image,LEAD_GENERATION
146,Insurance Awareness Q3,Ad Set 8,2024-09-08,77749,1732,2.23,1917.73,155,8.95,12.37,2.59,Small Business Owners,Facebook,Single Image,BRAND_AWARENESS
147,Home Defense Series,Ad Set 11,2025-04-24,81010,2549,3.15,7881.28,127,4.98,62.06,1.98,Small Business Owners,Audience Network,Collection,CONVERSIONS
148,Home Defense Series,Ad Set 4,2025-05-19,29045,985,3.39,3493.61,83,8.43,42.09,7.15,Young Families,Facebook,Carousel,REACH
149,Home Defense Series,Ad Set 2,2024-11-22,44926,1775,3.95,7226.33,107,6.03,67.54,2.81,Small Business Owners,Audience Network,Single Image,BRAND_AWARENESS
150,Health Enrollment Push,Ad Set 4,2025-01-18,186992,2838,1.52,7317.12,364,12.83,20.1,7.15,Senior Citizens,Instagram,Video,TRAFFIC
151,Insurance Awareness Q3,Ad Set 16,2025-04-01,191777,3926,2.05,1486.66,74,1.88,20.09,4.15,Small Business Owners,Facebook,Video,CONVERSIONS
152,Summer Travel Cover,Ad Set 20,2025-01-12,36030,1118,3.1,8043.41,78,6.98,103.12,3.63,"Ages 25-40, Homeowners",Audience Network,Carousel,BRAND_AWARENESS
153,Life Insure Campaign,Ad Set 4,2024-06-23,137139,1442,1.05,7897.97,174,12.07,45.39,4.83,Small Business Owners,Audience Network,Collection,CONVERSIONS
154,Insurance Awareness Q3,Ad Set 2,2024-06-23,40998,1054,2.57,5577.18,61,5.79,91.43,4.84,Senior Citizens,Audience Network,Video,TRAFFIC
155,Summer Travel Cover,Ad Set 15,2025-05-28,7541,159,2.11,8204.82,2,1.26,4102.41,3.18,"Ages 25-40, Homeowners",Audience Network,Collection,BRAND_AWARENESS
156,Life Insure Campaign,Ad Set 5,2025-03-25,165883,3557,2.14,3811.7,267,7.51,14.28,5.76,"Ages 35-60, Car Owners",Audience Network,Video,TRAFFIC
157,Life Insure Campaign,Ad Set 15,2024-11-06,165482,923,0.56,4656.53,30,3.25,155.22,3.11,Young Families,Instagram,Collection,REACH
158,Insurance Awareness Q3,Ad Set 9,2024-12-24,186544,7926,4.25,2511.13,364,4.59,6.9,6.95,"Ages 25-40, Homeowners",Audience Network,Video,REACH
159,Summer Travel Cover,Ad Set 9,2024-11-22,65448,1412,2.16,5811.67,63,4.46,92.25,6.85,"Ages 35-60, Car Owners",Instagram,Single Image,LEAD_GENERATION
160,Insurance Awareness Q3,Ad Set 8,2025-02-04,102710,3617,3.52,1970.14,171,4.73,11.52,1.46,Frequent Travelers,Instagram,Carousel,CONVERSIONS
161,Auto Insurance Drive,Ad Set 9,2025-02-04,8345,210,2.52,1931.65,8,3.81,241.46,7.56,"Ages 25-40, Homeowners",Instagram,Carousel,REACH
162,Insurance Awareness Q3,Ad Set 5,2025-01-09,151031,1086,0.72,2535.12,66,6.08,38.41,7.42,Frequent Travelers,Audience Network,Carousel,LEAD_GENERATION
163,Health Enrollment Push,Ad Set 18,2024-10-21,188600,8308,4.41,8725.27,931,11.21,9.37,7.73,Small Business Owners,Audience Network,Single Image,REACH
164,Summer Travel Cover,Ad Set 13,2024-10-13,86437,1422,1.65,4375.3,180,12.66,24.31,4.14,Senior Citizens,Instagram,Carousel,CONVERSIONS
165,Health Enrollment Push,Ad Set 15,2025-01-25,161123,5267,3.27,7265.37,161,3.06,45.13,1.71,Senior Citizens,Facebook,Carousel,BRAND_AWARENESS
